_2012_life_expectancy_at_birth,_2012_gni_per_capita_rank_minus_hdi_rank,HDI,type,abbreviation,_2010_mean_years_of_schooling,_2011_expected_years_of_schooling,Location,_2012_hdi_rank,_2012_gross_national_income_gni_per_capita,_2012_nonincome_hdi_value,_2011_expected_years_of_schooling_note,_2010_mean_years_of_schooling_note,_2012_gross_national_income_gni_per_capita_note
81.3,4,0.955,Ranked Country,NOR,12.6,17.5,Norway,1,48688,0.977,,,
82.0,15,0.938,Ranked Country,AUS,12.0,19.6,Australia,2,34340,0.978,d,c,
78.7,6,0.937,Ranked Country,USA,13.3,16.8,United States,3,43480,0.958,,,
80.8,8,0.921,Ranked Country,NLD,11.6,16.9,Netherlands,4,37282,0.945,,c,
80.6,10,0.920,Ranked Country,DEU,12.2,16.4,Germany,5,35431,0.948,e,,
80.8,26,0.919,Ranked Country,NZL,12.5,19.7,New Zealand,6,24358,0.978,d,,
80.7,19,0.916,Ranked Country,IRL,11.6,18.3,Ireland,7,28671,0.960,d,,
81.6,6,0.916,Ranked Country,SWE,11.7,16.0,Sweden,7,36143,0.940,,c,
82.5,2,0.913,Ranked Country,CHE,11.0,15.7,Switzerland,9,40527,0.926,,c,
83.6,11,0.912,Ranked Country,JPN,11.6,15.3,Japan,10,32545,0.942,,c,
81.1,5,0.911,Ranked Country,CAN,12.3,15.1,Canada,11,35369,0.934,,,
80.7,15,0.909,Ranked Country,KOR,11.6,17.2,Korea (Republic of),12,28231,0.949,,,
83.0,-6,0.906,Ranked Country,HKG,10.0,15.5,"Hong Kong, China (SAR)",13,45598,0.907,,,
81.9,12,0.906,Ranked Country,ISL,10.4,18.3,Iceland,13,29176,0.943,d,,
79.0,4,0.901,Ranked Country,DNK,11.4,16.8,Denmark,15,33518,0.924,,c,
81.9,13,0.900,Ranked Country,ISR,11.9,15.7,Israel,16,26224,0.942,,,
80.0,3,0.897,Ranked Country,BEL,10.9,16.4,Belgium,17,33429,0.917,,c,
81.0,-5,0.895,Ranked Country,AUT,10.8,15.3,Austria,18,36438,0.908,,,
81.2,-15,0.895,Ranked Country,SGP,10.1,14.4,Singapore,18,52613,0.880,f,c,
81.7,4,0.893,Ranked Country,FRA,10.6,16.1,France,20,30277,0.919,,c,
80.1,2,0.892,Ranked Country,FIN,10.3,16.9,Finland,21,32510,0.912,,,
79.5,12,0.892,Ranked Country,SVN,11.7,16.9,Slovenia,21,23999,0.936,,,
81.6,8,0.885,Ranked Country,ESP,10.4,16.4,Spain,23,25947,0.919,,c,
79.8,-22,0.883,Ranked Country,LIE,10.3,11.9,Liechtenstein,24,84880,0.832,,g,h
82.0,5,0.881,Ranked Country,ITA,10.1,16.2,Italy,25,26158,0.911,,c,
80.1,-20,0.875,Ranked Country,LUX,10.1,13.5,Luxembourg,26,48285,0.858,,,
80.3,-5,0.875,Ranked Country,GBR,9.4,16.4,United Kingdom,26,32538,0.886,,,
77.8,10,0.873,Ranked Country,CZE,12.3,15.3,Czech Republic,28,22067,0.913,,,
80.0,13,0.860,Ranked Country,GRC,10.1,16.3,Greece,29,20511,0.899,,c,
78.1,-23,0.855,Ranked Country,BRN,8.6,15.0,Brunei Darussalam,30,45690,0.832,,,
79.8,4,0.848,Ranked Country,CYP,9.8,14.9,Cyprus,31,23825,0.869,,,
79.8,9,0.847,Ranked Country,MLT,9.9,15.1,Malta,32,21184,0.876,,,
81.1,-15,0.846,Ranked Country,AND,10.4,11.7,Andorra,33,33918,0.839,,i,j
75.0,13,0.846,Ranked Country,EST,12.0,15.8,Estonia,33,17402,0.892,,,
75.6,9,0.840,Ranked Country,SVK,11.6,14.7,Slovakia,35,19696,0.872,,,
78.5,-35,0.834,Ranked Country,QAT,7.3,12.2,Qatar,36,87478,0.761,,,k
74.6,13,0.831,Ranked Country,HUN,11.7,15.3,Hungary,37,16088,0.874,,,
77.0,10,0.825,Ranked Country,BRB,9.3,16.3,Barbados,38,17308,0.859,,,
76.3,7,0.821,Ranked Country,POL,10.0,15.2,Poland,39,17776,0.851,,,
79.3,13,0.819,Ranked Country,CHL,9.7,14.7,Chile,40,14987,0.863,,,
72.5,7,0.818,Ranked Country,LTU,10.9,15.7,Lithuania,41,16858,0.850,,,
76.7,-31,0.818,Ranked Country,ARE,8.9,12.0,United Arab Emirates,41,42716,0.783,,,
79.7,0,0.816,Ranked Country,PRT,7.7,16.0,Portugal,43,19907,0.835,,,
