"Location","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Population density (people per sq. km of land area)","EN.POP.DNST","","307.972222222222","312.366666666667","314.983333333333","316.827777777778","318.666666666667","320.622222222222","322.494444444444","324.361111111111","326.244444444444","328.138888888889","330.211111111111","332.494444444444","334.661111111111","336.25","336.972222222222","336.605555555556","335.366666666667","333.922222222222","333.211111111111","333.866666666667","336.483333333333","340.8","345.577777777778","349.061111111111","350.155555555556","348.022222222222","343.527777777778","339.316666666667","339.066666666667","345.266666666667","359.016666666667","379.083333333333","402.766666666667","426.111111111111","446.255555555556","462.194444444444","474.705555555556","484.866666666667","494.466666666667","504.766666666667","516.077777777778","527.75","538.972222222222","548.566666666667","555.727777777778","560.166666666667","562.327777777778","563.022222222222","563.433333333333","564.427777777778","566.288888888889","568.8","",
"Andorra","AND","Population density (people per sq. km of land area)","EN.POP.DNST","","30.5872340425532","32.7148936170213","34.9148936170213","37.1702127659574","39.4702127659574","41.8","44.1595744680851","46.5702127659575","49.0659574468085","51.6574468085106","54.3829787234043","57.2170212765957","60.0659574468085","62.7957446808511","65.331914893617","67.6191489361702","69.7212765957447","71.8","74.0829787234043","76.7297872340425","79.7914893617021","83.2170212765957","86.9404255319149","90.8595744680851","94.8872340425532","98.968085106383","103.102127659574","107.3","111.593617021277","115.98085106383","120.582978723404","125.327659574468","129.793617021277","133.41914893617","135.859574468085","136.753191489362","136.36170212766","135.742553191489","136.348936170213","139.146808510638","144.68085106383","152.423404255319","160.942553191489","168.212765957447","172.814893617021","174.206382978723","172.96170212766","170.146808510638","167.359574468085","165.759574468085","165.670212765957","166.723404255319","",
"Afghanistan","AFG","Population density (people per sq. km of land area)","EN.POP.DNST","","13.7275868941938","14.0161952072122","14.3193459362495","14.637675359919","14.971735430753","15.3168744154669","15.6722352544348","16.0461340324732","16.4500114990111","16.8891663983564","17.3611241433237","17.8531760268617","18.3468285727427","18.8178847952409","19.2444229796238","19.6354200205449","19.984453337013","20.2376416294865","20.3258482437177","20.2082562899591","19.8760989221594","19.3712248746608","18.7693421032458","18.1748846265888","17.6762445762998","17.2675881207549","16.961972003741","16.8856768317925","17.1953497999172","17.9862824463763","19.3368029682781","21.1763886972387","23.2668307192248","25.2748539625592","26.9629931159254","28.2343759103384","29.1633718166904","29.892577771645","30.6442067982154","31.5768363920703","32.7304509145547","34.0413749750855","35.4417030802018","36.8254787421615","38.1166996304984","39.2979194455943","40.3986983119452","41.4458043941554","42.4822332612729","43.5395673305429","44.6245649540806","45.7270226760499","",
"Angola","AGO","Population density (people per sq. km of land area)","EN.POP.DNST","","4.05605839416058","4.13096655169648","4.20711879361514","4.28322210636079","4.35857944974733","4.43302558755113","4.50761450228604","4.58440041710115","4.66614502286035","4.75502286035133","4.8521809577284","4.95777893639208","5.07183524504692","5.19397850324858","5.32415817758883","5.46140450790086","5.60644100425122","5.76276890992219","5.93503168364482","6.12588513676105","6.33822892436031","6.56941766262934","6.80986925483276","7.04640490895965","7.27010989010989","7.47627977861555","7.66906392877196","7.85919226758643","8.06219058313949","8.28895804925002","8.5447397128419","8.82550573514077","9.12180636881367","9.41961337932141","9.70959493061683","9.98792411967595","10.2601973209272","10.537853533328","10.8371027512633","11.1694312986284","11.5386885377396","11.9407828667683","12.3695155209754","12.8152041389268","13.2705350124328","13.7341854495869","14.2077677067458","14.6903352851528","15.1813988930777","15.6806962380685","16.1871260126735","16.7005093446699","",
"Albania","ALB","Population density (people per sq. km of land area)","EN.POP.DNST","","60.8952919708029","62.7438321167883","64.6178832116788","66.5072627737226","68.4051824817518","70.3059124087591","72.2110218978102","74.1301824817518","76.0778102189781","78.0644525547445","80.0944525547445","82.1649635036496","84.2711313868613","86.4050729927007","88.5617518248175","90.7392700729927","92.9422262773723","95.1801459854015","97.4661313868613","99.8093430656934","102.165875912409","104.52197080292","106.947116788321","109.537408759124","112.333211678832","115.409671532847","118.668321167883","121.767664233577","124.248467153285","125.798613138686","126.268722627737","125.797737226277","124.718248175182","123.51704379562","122.549562043796","121.935875912409","121.580912408759","121.36700729927","121.092737226277","120.618540145985","119.930072992701","119.109343065693","118.225729927007","117.379452554745","116.647080291971","116.042810218978","115.555547445255","115.204671532847","115.006751824818","114.968722627737","115.105218978102","115.404489051095","",
"Arab World","ARB","Population density (people per sq. km of land area)","EN.POP.DNST","","7.05064301453806","7.24668014921575","7.44980013624455","7.65997757932289","7.87712234360007","8.10183410475211","8.33407968610758","8.57214681910222","8.81369779619556","9.05759213260745","9.30166013274632","9.54898186887567","9.80567360915021","10.0798252142122","10.3769977534483","10.6993991701844","11.0447978863169","11.4080180323079","11.7813373482117","12.1589398436919","12.5393131131693","12.9233886017687","13.3107890338448","13.6987732155724","14.0962366313953","14.4981217324644","14.8991000507854","15.3009817020578","15.7011159211717","16.2572254341624","16.6963345028634","16.9878758171878","17.4264712499131","17.8560890768512","18.3869803099836","18.7854013036249","19.1764555974008","19.5638096592846","19.9583645374332","20.3729594023375","20.8083426385959","21.2625318637808","21.7336771866885","22.2275876936434","22.7413554234488","23.2771817537295","23.8326203099829","24.4000895190159","24.9716448611675","25.5287276250072","26.0719912731444","26.6100843077742","",
"United Arab Emirates","ARE","Population density (people per sq. km of land area)","EN.POP.DNST","","1.16898325358852","1.30112440191388","1.45423444976077","1.60778708133971","1.75049043062201","1.87667464114833","2.00191387559809","2.16222488038278","2.40618421052632","2.76948564593301","3.25611244019139","3.85692583732057","4.57654306220096","5.41684210526316","6.37251196172249","7.45753588516746","8.65570574162679","9.89462918660287","11.0778947368421","12.1390550239234","13.0461722488038","13.8249401913876","14.538038277512","15.2787081339713","16.11504784689","17.0683612440191","18.1195933014354","19.2484449760766","20.4196770334928","21.6088277511962","22.822990430622","24.0786722488038","25.372523923445","26.700466507177","28.0658492822967","29.5551435406699","31.2080502392344","32.9365789473684","34.613014354067","36.2003827751196","37.4653588516746","38.5642224880383","40.3020813397129","43.7638516746411","49.6277870813397","58.3210406698565","69.3462559808612","81.3233851674641","92.3243899521531","100.975322966507","106.7595215311","110.115442583732","",
"Argentina","ARG","Population density (people per sq. km of land area)","EN.POP.DNST","","7.65860985350917","7.78140381263497","7.9040205503729","8.02573619956955","8.14627049464865","8.26505267311972","8.3829286473806","8.50271751641582","8.62818770120109","8.76187365028556","8.90515915211442","9.05686431418977","9.21380499800854","9.37136942803167","9.52626822913812","9.67732370125955","9.82565215643716","9.97303055881375","10.1222323317584","10.2752357775269","10.4323555097581","10.5927485392938","10.755841545809","10.9206976310799","11.0865384826195","11.2531857828252","11.4205752204305","11.5881400523991","11.7552251077031","11.9212895870559","12.0858387321911","12.2486664547318","12.4098626442893","12.5696892961936","12.7282110871162","12.8856647994475","13.0415860035298","13.1945313499154","13.3425992713826","13.4845623727934","13.6198696235233","13.7492902009362","13.8745751254252","13.9982164585686","14.1221161329928","14.2467444248344","14.3718714943965","14.4978360720432","14.6248354764332","14.7529402307167","14.8824813917543","15.0133654158856","",
"Armenia","ARM","Population density (people per sq. km of land area)","EN.POP.DNST","","67.9156952247191","70.3009129213483","72.697577247191","75.0748946629214","77.4104634831461","79.6866221910112","81.9039325842697","84.0812851123596","86.2489466292135","88.4272471910112","90.6212780898876","92.8182584269663","94.9994382022472","97.1381671348315","99.2152387640449","101.222998595506","103.166467696629","105.054564606742","106.901825842697","108.718328651685","110.459445224719","112.109445224719","113.736376404494","115.434971910112","117.24533005618","119.259515449438","121.385323033708","123.259796348315","124.393258426966","124.462605337079","123.311516853933","121.119978932584","118.31716994382","115.517661516854","113.173209269663","111.426439606742","110.170365168539","109.303300561798","108.631320224719","108.009058988764","107.442415730337","106.987429775281","106.602247191011","106.237780898876","105.860849719101","105.439290730337","104.981811797753","104.546629213483","104.218890449438","104.055337078652","104.077247191011","104.251439606742","",
"American Samoa","ASM","Population density (people per sq. km of land area)","EN.POP.DNST","","102.39","105.59","109.415","113.505","117.59","121.6","125.58","129.43","133.075","136.46","139.58","142.45","145.07","147.455","149.66","151.625","153.45","155.525","158.35","162.28","167.44","173.7","180.825","188.435","196.235","204.175","212.24","220.245","227.955","235.22","241.895","247.985","253.625","259.035","264.37","269.63","274.71","279.495","283.84","287.61","290.88","293.645","295.585","296.31","295.585","293.26","289.595","285.265","281.225","278.18","276.37","275.64","",
