Description,Z Coordinate,Name,latitude,longitude
,0.0,????-??-??,39.933586,-81.570887
,0.0,2001-07-14,33.258362,-105.730702
,0.0,2003-09-30,36.336637,-94.392594
,0.0,2000-07Sum ~5mi,47.643414,-94.286426
,0.0,1998-01Win,33.377581,-112.186158
,0.0,1999-09-??,44.845161,-123.027935
,0.0,1999-11-??,47.93335,-124.517467
,0.0,1998-01-??,38.853321,-79.372332
,0.0,1995-04-01 ~3mi,46.574821,-122.718174
,0.0,2000-07-05,35.943489,-100.438026
,0.0,1999-11-20,32.47344,-86.890572
,0.0,2003-09-26,36.338568,-94.459453
,0.0,1996-04Spr ~5mi,33.889217,-86.219704
,0.0,1998-04-05 ~5mi,40.243006,-81.584018
,0.0,1996-04-14 ~3mi,47.31465,-123.241363
,0.0,2000-03-21,39.650398,-106.966253
,0.0,2001-06-06 ~1mi,40.555429,-79.906084
,0.0,1998-??-?? Multi,41.346788,-80.916159
,0.0,2000-12-19,35.406446,-82.490338
,0.0,1972-07-15 ~5mi,30.312181,-96.627486
,0.0,2001-05-27 ~5mi,33.425903,-105.488225
,0.0,????-??-??,38.406916,-80.569938
,0.0,2001-07-??,30.435905,-98.093946
,0.0,1996-??-??-7 ~10mi,33.158112,-105.763494
,0.0,1990-10-??,44.40794,-83.446896
,0.0,1992-10Aut ~1mi,35.870361,-85.973875
,0.0,1995-12-05,42.073431,-78.688419
,0.0,2000-04-03,43.618995,-84.711855
,0.0,2003-02-14,42.907405,-77.289401
,0.0,2004-01-02,30.280724,-94.81004
,0.0,2003-11-14,33.825188,-95.628166
,0.0,1987-07-04 ~5mi,39.092789,-79.446222
,0.0,2003-09-27,36.343503,-94.454658
,0.0,1998-09-20 ~5mi,46.714039,-120.684161
,0.0,2003-12-?? ?mi,46.039581,-116.445507
,0.0,1990-05-01 ~20mi,40.250773,-81.909627
,0.0,2000-01-24 ~5mi??,46.604004,-118.469897
,0.0,2003-10-19,47.425307,-121.780827
,0.0,1995-??-??,36.234927,-121.476523
,0.0,2001-09-11,30.528259,-95.59616
,0.0,1998-10-15 ~3mi,31.870222,-81.71687
,0.0,2001-08-07 ~3mi,42.275734,-83.620064
,0.0,1995-??-?? ~10mi,38.57935,-78.087615
,0.0,1998-11-17,46.863556,-123.776066
,0.0,2003-08-16,30.529761,-95.586972
,0.0,2002-08-??,46.867332,-122.326217
,0.0,19??-??-??,42.95238,-73.172557
,0.0,2001-06-??,35.834656,-98.729704
,0.0,1997-08-09,42.508142,-96.402174
,0.0,1993-04Spr,44.761648,-84.312602
,0.0,1999-??-?? Multi,41.415024,-80.904159
,0.0,1999-05-??,40.552511,-79.921024
,0.0,1993-07-04,41.297607,-122.28433
,0.0,1993-07-??,37.460976,-82.79523
,0.0,2001-10-04 ~3mi,48.943405,-119.034436
,0.0,2000-05-??,40.679111,-83.974335
,0.0,2003-04-?? ~2mi,40.780853,-80.644151
,0.0,2000-07-??,47.245674,-93.516103
Allison Park,0.0,1978-07-11 ~3mi,40.559893,-79.958899
Elliotsburg,0.0,2003-02-??,40.388381,-77.289748
Emmsworth,0.0,1970-06-16 ~3mi,40.510089,-80.0945
Footedale,0.0,1977-03-15 ~3mi,39.909157,-79.825212
Grays Landing,0.0,1977-04Spr,39.831791,-79.912525
Hampton Township,0.0,1971-09Sum ~3mi,40.583239,-79.956696
Johnsonburg,0.0,1973-10-?? ~3mi,40.886307,-78.877578
Loyalhanna Creek,0.0,1988-05-10 ~3mi,40.196743,-79.238537
Loyalhanna Creek,0.0,1988-05-17,40.380163,-79.427188
V,0.0,1982-08-??,45.807495,-120.807917
Vandergrift,0.0,1981-10-31 ~2mi,40.588903,-79.575852
http://oregonbigfoot.com/report_detail.php?id=00421,0.0,200?-??-?? ~5mi,43.151894,-82.582997
http://oregonbigfoot.com/report_detail.php?id=00671,0.0,2000-07-04 ~2mi,44.660068,-83.99035
http://oregonbigfoot.com/report_detail.php?id=00913,0.0,2003-07Sum ~5mi,46.335182,-86.73828
http://oregonbigfoot.com/report_detail.php?id=01243,0.0,2004-09-?? ~3mi,42.875347,-83.938937
http://squatchdetective.com/oklahoma.html,0.0,2006-02-09 ~3mi,34.460646,-97.020875
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2006-11-10 ~2mi,37.40437,-77.626432
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2006-12-02,39.175186,-78.343008
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2006-04-19,36.557007,-79.545309
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2001-10-?? ~13mi,38.567194,-78.968115
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2004-12-??,38.857914,-77.850719
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2006-10-09 ~16mi,37.376862,-77.580698
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2003-08-??,38.436613,-79.090119
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2006-07-24 ~3mi,37.052025,-80.363766
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2005-07-?? ~2mi,38.596988,-77.388832
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,197?-??-?? ~8mi,38.577912,-77.427483
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2005-12-21 ~3mi,36.993971,-79.914782
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2006-10-19 ~25mi,36.803856,-78.884922
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2006-05-13,36.691364,-79.518241
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2006-07Sum,36.878572,-81.516424
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,197?-??-?? ~6mi,38.583899,-77.273005
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2006-10-11 ~20mi,37.75353,-76.901213
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,200?-03-??,37.9842,-78.312339
http://user1043825.wx15.registeredsite.com/indexhi.htm,0.0,2006-05-??,36.86913,-81.520662
